pct_missing,replicate,file,Δ_total,Δ_normalized,Δ_per_triangle,Δ_relative
30,1,LRMC_completed_p30_rep1.csv,870.4639616084334,0.14147850806220527,1.9131076079306228,8.246132331852321
30,2,LRMC_completed_p30_rep2.csv,759.094870960749,0.13406062122282272,1.6683403757379098,7.19110386466349
30,3,LRMC_completed_p30_rep3.csv,958.8746684445077,0.14260437203063314,2.107416853724193,9.08367003619995
30,4,LRMC_completed_p30_rep4.csv,661.4053885230564,0.12886803971154065,1.45363821653419,6.265665896935487
30,5,LRMC_completed_p30_rep5.csv,827.9931485471693,0.14855657240739473,1.8197651616421304,7.843795233257897
50,1,LRMC_completed_p50_rep1.csv,1573.8134116220685,0.20220595533389388,3.4589305749935573,14.909145272251338
50,2,LRMC_completed_p50_rep2.csv,1049.1352826162138,0.18892344430899333,2.3057918299257447,9.938732395632778
50,3,LRMC_completed_p50_rep3.csv,1506.11440656489,0.21003323303982535,3.3101415528898683,14.267814925381266
50,4,LRMC_completed_p50_rep4.csv,957.0110656223078,0.1762840534754449,2.1033210233457313,9.066015640195458
50,5,LRMC_completed_p50_rep5.csv,1468.9536541701177,0.21139952938527257,3.228469569604654,13.915781417604254
65,1,LRMC_completed_p65_rep1.csv,1477.1121288695008,0.23073662518747187,3.246400283229672,13.993068778097468
65,2,LRMC_completed_p65_rep2.csv,1530.8370796206432,0.24525718413738423,3.3644770980673475,14.502019260777482
65,3,LRMC_completed_p65_rep3.csv,1781.536793661653,0.24156551725889555,3.9154654805750617,16.876963093856755
65,4,LRMC_completed_p65_rep4.csv,1241.4907663948156,0.22188600899017644,2.7285511349336606,11.760966105417708
65,5,LRMC_completed_p65_rep5.csv,1384.7116885647208,0.2433914956151922,3.043322392449936,13.117735287131662
85,1,LRMC_completed_p85_rep1.csv,5313622428306.57,0.4274260878805865,11678291051.223232,50337332316.83734
85,2,LRMC_completed_p85_rep2.csv,5300456885620.036,0.42660869612452257,11649355792.571508,50212611694.27049
85,3,LRMC_completed_p85_rep3.csv,7042979594758.545,0.5617946190688099,15479076032.436363,66719984181.30941
85,4,LRMC_completed_p85_rep4.csv,4349472368842.664,0.4005601939281143,9559279931.522339,41203687124.43696
85,5,LRMC_completed_p85_rep5.csv,5144151086255.871,0.4553032617389624,11305826563.199717,48731886055.2547
90,1,LRMC_completed_p90_rep1.csv,8400837316722.729,0.7094397905743621,18463378718.07193,79583324832.94807
90,2,LRMC_completed_p90_rep2.csv,8575912556457.838,0.5859417802491446,18848159464.7425,81241858280.12128
90,3,LRMC_completed_p90_rep3.csv,11041697624882.04,0.6143404944234773,24267467307.433052,104600883895.10487
90,4,LRMC_completed_p90_rep4.csv,6749438556752.711,0.7450720621907185,14833930893.962002,63939193303.129135
90,5,LRMC_completed_p90_rep5.csv,9728528681640.05,0.4584120418748078,21381381717.89022,92160891709.73834
